Id,SalePrice
1461,126148.06079544651
1462,167120.24450069253
1463,189819.01438783217
1464,191065.85092012974
1465,183362.38782954754
1466,172691.5987509148
1467,173859.55354545335
1468,167167.19420111214
1469,186679.34031362055
1470,126542.5715743095
1471,196917.16078018653
1472,98796.86418857508
1473,102776.98713356542
1474,147444.7945413373
1475,122693.13397646551
1476,391382.2409060169
1477,256603.73377982705
1478,286350.500825862
1479,288174.1585528891
1480,493772.0827053062
1481,323672.251400901
1482,209307.75521123136
1483,172534.56312136442
1484,167016.00688658553
1485,176024.9634672853
1486,193313.68421990908
1487,354903.7248217504
1488,237186.03878104337
1489,218545.52085985718
1490,224979.68534593494
1491,192697.55713761644
1492,90536.74055174955
1493,186265.7202454226
1494,289489.4315445832
1495,286625.4650891945
1496,241564.5331717583
1497,185305.41166872406
1498,160521.0313686654
1499,160471.42943591072
1500,156556.53070490566
1501,179347.99342404804
1502,150705.31319891402
1503,300367.4111955131
1504,243878.00940157834
1505,227242.85232017905
1506,185933.41879231785
1507,250643.5589208516
1508,198369.62715123146
1509,161005.97634232085
1510,150840.37450584315
1511,146918.07819399683
1512,169801.9434519232
1513,132582.68324874292
1514,166119.5340690514
1515,190681.2143817064
1516,146988.1241332204
1517,168246.76371637417
1518,137506.90515957685
1519,230172.51593087128
1520,136936.36967815005
1521,139243.53721232983
1522,169256.22025189953
1523,115047.79894968777
1524,119231.90300416802
1525,126752.80766437616
1526,115930.43233130126
1527,110362.28603356931
1528,132310.92182856696
1529,149082.609127112
1530,170282.6660939053
1531,114147.00566437274
1532,96849.12245678979
1533,149341.7636793311
1534,122420.35904129659
1535,150941.7781899234
1536,108134.45649037886
1537,73057.48616208776
1538,160713.8290256904
1539,214342.13540378545
1540,96121.4957286726
1541,139015.90831307304
1542,145085.42847562922
1543,212866.8465477965
1544,80968.90949648788
1545,106731.34428947701
1546,132141.96064869242
1547,140658.79111372543
1548,137532.4052683608
1549,115795.44508144492
1550,142309.86935267874
1551,108298.97187588677
1552,145144.89726431912
1553,155693.82888321107
1554,115160.57713716954
1555,171923.93975966796
1556,89229.11868861715
1557,95525.72298249758
1558,94322.44458272647
1559,82740.04141571018
1560,131546.70243676164
1561,135418.5974788565
1562,128673.51172709244
1563,120253.25618354231
1564,153550.42086454565
1565,145703.76747209753
1566,234810.864798022
1567,74399.52470870002
1568,231980.3636008249
1569,143248.2682378654
1570,137680.22787778138
1571,119745.18548126065
1572,146428.64144872772
1573,247650.64111124972
1574,114608.55315058891
1575,226632.74036609122
1576,238305.77811669424
1577,202928.27663108296
1578,144311.6716837909
1579,147808.11729631413
1580,194124.76267293477
1581,162218.36443528123
1582,124953.02885522385
1583,319998.9645278195
1584,229561.19171404743
1585,141191.91042795696
1586,76599.03906381167
1587,94578.78962904574
1588,160576.10929580967
1589,96471.78627164532
1590,133597.42978011683
1591,90232.80926833702
1592,118130.99358634383
1593,125243.74560636579
1594,146360.11354569637
1595,109335.48533589586
1596,240273.37687390155
1597,198647.2945074808
1598,206212.45747894415
1599,177789.47220838806
1600,171043.62922468813
1601,73324.64019890904
1602,116376.5962397033
1603,87138.35217855357
1604,275920.8427406626
1605,248883.98250678883
1606,170210.8556252597
1607,162163.93808527893
1608,216397.6401171302
1609,199161.57397230522
1610,158941.62251005933
1611,133930.8607777139
1612,167973.9983996833
1613,163937.58707200913
1614,127125.3745484454
1615,87204.85042332797
1616,65899.34774205505
1617,90300.26197504626
1618,125091.07338201161
1619,143312.96787910268
1620,178216.34481892793
1621,139328.91064292594
1622,144132.82042568142
1623,289384.8477149542
1624,212809.48878675388
1625,124402.48998301345
1626,162595.82080239072
1627,189268.6854145476
1628,295084.0099235665
1629,181035.2816334744
1630,353979.05971274804
1631,235669.49094919002
1632,244369.53799888853
1633,173351.15380213753
1634,187745.97458690614
1635,175466.78540099575
1636,153532.37931234948
1637,202238.79415201355
1638,193991.57510421379
1639,180698.80686122898
1640,249575.0303237095
1641,175918.06657401155
1642,233281.8711055426
1643,225140.89714804076
1644,230155.67235757413
1645,199988.1122137858
1646,160457.3658657753
1647,155103.96273133572
1648,133582.87426690335
1649,143322.0699393689
1650,115385.50081617577
1651,120171.04252944575
1652,95697.46053716089
1653,100760.13941384603
1654,148098.63265927468
1655,146382.40309047725
1656,145193.84115471307
1657,150649.52971880473
1658,147666.2116071652
1659,127924.08445693522
1660,156065.60223302172
1661,458565.13627040153
1662,390520.5437008607
1663,382676.1899318459
