id,price
188533,17753.072
188534,66931.695
188535,47616.367
188536,24313.707
188537,30300.105
188538,15273.981
188539,8821.105
188540,38441.21
188541,50266.06
188542,32781.6
188543,20696.521
188544,10354.406
188545,47615.734
188546,77027.48
188547,15652.53
188548,93985.336
188549,22695.396
188550,9078.241
188551,57797.805
188552,45459.0
188553,60757.523
188554,25054.643
188555,33783.453
188556,20972.363
188557,19511.7
188558,59253.652
188559,21367.19
188560,11576.694
188561,68435.22
188562,25394.645
188563,64115.66
188564,45850.246
188565,38688.027
188566,29989.77
188567,11352.543
188568,36329.97
188569,20095.582
188570,14534.31
188571,29226.38
188572,86884.59
188573,18958.086
188574,31598.18
188575,39065.754
188576,32210.86
188577,11009.37
188578,30842.934
188579,38103.633
188580,45406.055
188581,79230.43
188582,24571.87
188583,92767.76
188584,30404.834
188585,36507.867
188586,31565.2
188587,47385.246
188588,25731.31
188589,16543.17
188590,18496.541
188591,27592.85
188592,36805.465
188593,28070.36
188594,60053.113
188595,23683.486
188596,38312.457
188597,26456.994
188598,27951.832
188599,14433.559
188600,38652.074
188601,48241.977
188602,35746.336
188603,92421.336
188604,9607.902
188605,28976.576
188606,31278.932
188607,43626.617
188608,16410.47
188609,46114.234
188610,32650.312
188611,21438.629
188612,61574.926
188613,21947.932
188614,14786.004
188615,30541.275
188616,46141.64
188617,38989.902
188618,21846.295
188619,72290.88
188620,11828.352
188621,23390.205
188622,66922.31
188623,50589.277
188624,40487.79
188625,21128.023
188626,12295.153
188627,70976.6
188628,63360.168
188629,18960.037
188630,29948.584
188631,39766.113
188632,41485.656
188633,48681.867
188634,9657.602
188635,19076.643
188636,47294.863
188637,9810.6875
188638,27286.498
188639,18944.602
188640,10393.882
188641,26551.605
188642,13861.04
188643,75465.84
188644,66943.95
188645,54202.008
188646,7698.316
188647,20551.742
188648,25654.324
188649,29059.182
188650,87628.445
188651,39400.137
188652,47249.824
188653,56118.207
188654,7090.7563
188655,13410.042
188656,28286.85
188657,35893.805
188658,10722.694
188659,53829.156
188660,10860.892
188661,70605.29
188662,8611.022
188663,14049.462
188664,69732.555
188665,89346.79
188666,27400.584
188667,10584.469
188668,13867.532
188669,27105.23
188670,55690.043
188671,20670.11
188672,18459.29
188673,44613.598
188674,10342.662
188675,29819.594
188676,40600.617
188677,11557.786
188678,29720.736
188679,37601.32
188680,41299.22
188681,10590.012
188682,15730.631
188683,7940.059
188684,58292.688
188685,40725.332
188686,71751.984
188687,19055.496
188688,35450.57
188689,10017.829
188690,26410.105
188691,32314.826
188692,27411.143
188693,10043.102
188694,15418.136
188695,17215.174
188696,54175.86
188697,27959.83
188698,10285.121
188699,56260.05
188700,75730.08
188701,24243.53
188702,14373.023
188703,59802.73
188704,42444.56
188705,22645.11
188706,63894.938
188707,12827.951
188708,15681.127
188709,12726.788
188710,21559.145
188711,32002.74
188712,39368.547
188713,32300.53
188714,21890.592
188715,37385.996
188716,39592.5
188717,11293.8955
188718,15693.784
188719,24895.893
188720,15690.387
188721,60192.215
188722,47964.754
188723,23176.463
188724,22760.096
188725,11129.2705
188726,37451.477
188727,12764.566
188728,53346.98
188729,16062.565
188730,50423.92
188731,53148.832
188732,31530.36
